url,name,price,rating,reviews,description,asin,product_description,manufacturer
/b/ref=sxts_spks_0_0_d1b13407-0df6-43f6-a6ba-66a65c6b6cff?node=21102587031&pd_rd_w=vmdXu&content-id=amzn1.sym.d1b13407-0df6-43f6-a6ba-66a65c6b6cff:amzn1.sym.d1b13407-0df6-43f6-a6ba-66a65c6b6cff&pf_rd_p=d1b13407-0df6-43f6-a6ba-66a65c6b6cff&pf_rd_r=W9EX971H018G29KQQW9Q&pd_rd_wg=qMFvu&pd_rd_r=be7b448b-48f7-42fc-bd92-99183e6c3ad2&qid=1675407532,,,,,,,,
/gp/bestsellers/luggage/2917436031/ref=sr_bs_0_2917436031_1,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,299",4.1 out of 5 stars,,,,,
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565,4.3 out of 5 stars,,,,,
/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",,"Bags, Wallets and Luggage
            


             ›
         


                Bags & Backpacks
            


             ›
         


                Backpacks
            


             ›
         


                 Casual Backpacks",
/gp/profile/amzn1.account.AE3KRARFYIYSFSCJ4J2O2CMRJ6ZA/ref=sxin_15?linkCode=oas&asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&cv_ct_pg=search&cv_ct_wn=osp-single-source-pecos-desktop&cv_ct_we=contributor-profile&pd_rd_w=rVjFf&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408:amzn1.sym.feb2b32b-0085-4665-973c-36b431684408&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=W9EX971H018G29KQQW9Q&pd_rd_wg=rxQfR&pd_rd_r=3e1af713-1e42-4891-bbfa-e852d2ebc09e&qid=1675407532&cv_ct_cx=bags,,₹312.62,3.8 out of 5 stars,,,,,
/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9 out of 5 stars,,,,,
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",₹498,4.3 out of 5 stars,,,,"Computers & Accessories
            


             ›
         


                Accessories & Peripherals
            


             ›
         


                Laptop Accessories
            


             ›
         


                Bags & Sleeves
            


             ›
         


                 Laptop Backpacks",
/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349,4.1 out of 5 stars,,,,,
/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,,,,"Bags, Wallets and Luggage
            


             ›
         


                Bags & Backpacks
            


             ›
         


                Backpacks
            


             ›
         


                 Casual Backpacks",
/gp/bestsellers/luggage/2917442031/ref=sr_bs_7_2917442031_1,DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,,,,,
